participant_id,dataset,oracle,search,condition,task,task_type,time
partcipant38,movies,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,859345
partcipant56,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,173295
partcipant7,movies,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,97353
partcipant28,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,617546
partcipant57,birdstrikes,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,214771
partcipant21,birdstrikes,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,386503
partcipant4,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,274449
partcipant9,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,1139979
partcipant50,birdstrikes,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,172199
partcipant18,birdstrikes,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,86738
partcipant48,birdstrikes,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,560507
partcipant26,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,277825
partcipant14,movies,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,671747
partcipant30,movies,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,85470
partcipant31,birdstrikes,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,150188
partcipant27,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,284909
partcipant8,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,378739
partcipant54,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,1440465
partcipant37,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,668223
partcipant59,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,125868
partcipant2,birdstrikes,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,682492
partcipant43,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,378740
partcipant42,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,654838
partcipant22,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,754890
partcipant40,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,821641
partcipant10,birdstrikes,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,80865
partcipant58,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,199194
partcipant15,movies,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,175713
partcipant45,movies,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,434847
partcipant21,birdstrikes,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,886577
partcipant47,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,473256
partcipant38,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,156638
partcipant25,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,729704
partcipant34,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,353005
partcipant1,birdstrikes,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,419898
partcipant19,movies,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,102940
partcipant51,movies,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,170892
partcipant11,birdstrikes,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,778919
partcipant55,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,154328
partcipant39,movies,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,745930
partcipant13,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,722972
partcipant46,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,127562
partcipant37,movies,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,196112
