participant_id,dataset,oracle,search,task,num_exposed_visual_design
30,movies,dziban,dfs,3. Prediction,80
31,birdstrikes,dziban,dfs,3. Prediction,25
4,movies,compassql,dfs,3. Prediction,76
50,birdstrikes,compassql,dfs,3. Prediction,62
26,birdstrikes,dziban,bfs,3. Prediction,45
59,movies,compassql,bfs,3. Prediction,72
38,movies,compassql,bfs,3. Prediction,39
15,movies,dziban,dfs,3. Prediction,114
58,birdstrikes,dziban,bfs,3. Prediction,78
51,movies,dziban,dfs,3. Prediction,41
55,movies,compassql,dfs,3. Prediction,75
2,birdstrikes,compassql,bfs,3. Prediction,57
37,movies,dziban,bfs,3. Prediction,115
48,birdstrikes,compassql,bfs,3. Prediction,75
5,movies,dziban,bfs,4. Exploration,63
16,birdstrikes,dziban,dfs,4. Exploration,113
60,birdstrikes,compassql,bfs,4. Exploration,58
44,movies,dziban,bfs,4. Exploration,52
53,movies,dziban,dfs,4. Exploration,154
17,movies,compassql,dfs,4. Exploration,63
23,birdstrikes,compassql,dfs,4. Exploration,28
35,movies,compassql,bfs,4. Exploration,116
10,birdstrikes,compassql,bfs,4. Exploration,90
46,movies,dziban,dfs,4. Exploration,130
1,birdstrikes,compassql,bfs,4. Exploration,106
19,movies,compassql,dfs,4. Exploration,49
24,movies,compassql,bfs,4. Exploration,87
12,movies,compassql,dfs,4. Exploration,40
57,birdstrikes,dziban,dfs,4. Exploration,66
7,movies,compassql,dfs,4. Exploration,64
56,movies,dziban,dfs,4. Exploration,108
6,birdstrikes,compassql,dfs,4. Exploration,31
36,birdstrikes,compassql,dfs,4. Exploration,50
41,movies,dziban,bfs,4. Exploration,113
18,birdstrikes,dziban,dfs,4. Exploration,181
8,movies,dziban,dfs,4. Exploration,93
55,movies,compassql,dfs,4. Exploration,46
51,movies,dziban,dfs,4. Exploration,93
15,movies,dziban,dfs,4. Exploration,134
58,birdstrikes,dziban,bfs,4. Exploration,130
38,movies,compassql,bfs,4. Exploration,90
48,birdstrikes,compassql,bfs,4. Exploration,87
37,movies,dziban,bfs,4. Exploration,102
2,birdstrikes,compassql,bfs,4. Exploration,104
40,birdstrikes,dziban,dfs,4. Exploration,126
45,movies,compassql,dfs,4. Exploration,40
21,birdstrikes,compassql,dfs,4. Exploration,39
25,birdstrikes,dziban,dfs,4. Exploration,67
13,birdstrikes,dziban,bfs,4. Exploration,101
59,movies,compassql,bfs,4. Exploration,98
50,birdstrikes,compassql,dfs,4. Exploration,36
26,birdstrikes,dziban,bfs,4. Exploration,82
4,movies,compassql,dfs,4. Exploration,41
31,birdstrikes,dziban,dfs,4. Exploration,14
30,movies,dziban,dfs,4. Exploration,16
39,movies,compassql,bfs,4. Exploration,180
11,birdstrikes,compassql,dfs,4. Exploration,52
47,movies,dziban,bfs,4. Exploration,159
34,birdstrikes,dziban,dfs,4. Exploration,67
22,movies,dziban,bfs,4. Exploration,157
52,birdstrikes,dziban,bfs,4. Exploration,79
3,birdstrikes,compassql,bfs,4. Exploration,147
32,movies,compassql,bfs,4. Exploration,21
49,birdstrikes,compassql,bfs,4. Exploration,84
28,birdstrikes,compassql,bfs,4. Exploration,76
29,movies,compassql,bfs,4. Exploration,116
20,birdstrikes,compassql,dfs,4. Exploration,26
33,birdstrikes,dziban,bfs,4. Exploration,77
42,birdstrikes,dziban,bfs,4. Exploration,108
43,movies,dziban,bfs,4. Exploration,163
27,birdstrikes,dziban,bfs,4. Exploration,122
54,movies,dziban,dfs,4. Exploration,149
9,movies,dziban,bfs,4. Exploration,68
14,movies,compassql,dfs,4. Exploration,31
