participant_id,participant_group,dataset,oracle,search,task,completion_time
pro10,professional,birdstrikes,dziban,dfs,4. Exploration,898.077
stu4,student,movies,dziban,bfs,4. Exploration,595.646
stu1,student,birdstrikes,compassql,bfs,4. Exploration,682.492
pro20,professional,movies,dziban,bfs,1. Find Extremum,171.549
stu6,student,movies,compassql,dfs,3. Prediction,537.48
stu25,student,movies,compassql,bfs,3. Prediction,548.43
pro13,professional,movies,compassql,bfs,3. Prediction,581.608
stu23,student,birdstrikes,dziban,dfs,3. Prediction,353.005
pro11,professional,birdstrikes,compassql,dfs,3. Prediction,286.541
stu15,student,movies,dziban,bfs,2. Retrieve Value,443.844
stu38,student,movies,compassql,dfs,2. Retrieve Value,154.328
stu3,student,movies,compassql,dfs,4. Exploration,949.55
pro15,professional,movies,dziban,bfs,1. Find Extremum,261.083
pro22,professional,movies,dziban,bfs,3. Prediction,847.375
stu22,student,birdstrikes,dziban,bfs,1. Find Extremum,316.352
stu5,student,birdstrikes,compassql,dfs,1. Find Extremum,189.291
pro14,professional,birdstrikes,dziban,dfs,2. Retrieve Value,354.573
pro9,professional,movies,compassql,dfs,4. Exploration,644.776
pro24,professional,movies,dziban,dfs,4. Exploration,440.702
stu35,student,birdstrikes,dziban,bfs,2. Retrieve Value,380.652
stu25,student,movies,compassql,bfs,4. Exploration,859.345
pro13,professional,movies,compassql,bfs,4. Exploration,541.348
stu6,student,movies,compassql,dfs,4. Exploration,670.009
stu39,student,movies,dziban,dfs,2. Retrieve Value,225.553
pro10,professional,birdstrikes,dziban,dfs,3. Prediction,927.51
stu4,student,movies,dziban,bfs,3. Prediction,659.498
stu8,student,birdstrikes,compassql,bfs,1. Find Extremum,80.865
stu1,student,birdstrikes,compassql,bfs,3. Prediction,558.253
pro18,professional,movies,dziban,dfs,1. Find Extremum,129.046
stu36,student,movies,dziban,dfs,4. Exploration,641.783
stu31,student,movies,dziban,bfs,2. Retrieve Value,164.61
stu34,student,birdstrikes,compassql,dfs,1. Find Extremum,733.951
pro2,professional,birdstrikes,compassql,bfs,1. Find Extremum,419.898
pro25,professional,movies,compassql,dfs,4. Exploration,660.211
pro3,professional,movies,compassql,bfs,1. Find Extremum,142.886
stu13,student,movies,compassql,dfs,4. Exploration,595.448
pro6,professional,birdstrikes,dziban,bfs,1. Find Extremum,123.751
stu9,student,birdstrikes,compassql,dfs,3. Prediction,778.919
stu27,student,birdstrikes,dziban,dfs,2. Retrieve Value,241.323
stu19,student,birdstrikes,dziban,bfs,1. Find Extremum,186.4
pro26,professional,birdstrikes,dziban,bfs,3. Prediction,1055.394
pro17,professional,movies,compassql,bfs,2. Retrieve Value,246.99
stu21,student,movies,compassql,bfs,2. Retrieve Value,522.845
pro12,professional,birdstrikes,dziban,dfs,1. Find Extremum,333.432
pro16,professional,birdstrikes,compassql,bfs,2. Retrieve Value,238.401
pro24,professional,movies,dziban,dfs,3. Prediction,348.954
pro9,professional,movies,compassql,dfs,3. Prediction,1025.924
pro22,professional,movies,dziban,bfs,4. Exploration,807.027
pro1,professional,birdstrikes,compassql,dfs,1. Find Extremum,221.764
stu3,student,movies,compassql,dfs,3. Prediction,1035.578
stu16,student,birdstrikes,compassql,dfs,2. Retrieve Value,354.845
stu12,student,birdstrikes,dziban,dfs,2. Retrieve Value,152.353
stu17,student,movies,compassql,bfs,1. Find Extremum,212.961
pro11,professional,birdstrikes,compassql,dfs,4. Exploration,705.415
stu23,student,birdstrikes,dziban,dfs,4. Exploration,632.996
pro8,professional,movies,compassql,dfs,2. Retrieve Value,432.948
stu13,student,movies,compassql,dfs,2. Retrieve Value,196.136
stu28,student,birdstrikes,dziban,bfs,1. Find Extremum,185.373
pro25,professional,movies,compassql,dfs,2. Retrieve Value,112.813
stu24,student,movies,compassql,bfs,3. Prediction,325.284
pro21,professional,movies,dziban,bfs,1. Find Extremum,232.085
stu29,student,movies,dziban,bfs,1. Find Extremum,76.532
stu31,student,movies,dziban,bfs,4. Exploration,802.248
stu27,student,birdstrikes,dziban,dfs,4. Exploration,821.641
stu37,student,movies,dziban,dfs,3. Prediction,1440.465
pro4,professional,birdstrikes,compassql,bfs,3. Prediction,988.753
stu39,student,movies,dziban,dfs,4. Exploration,751.604
stu6,student,movies,compassql,dfs,2. Retrieve Value,185.769
pro13,professional,movies,compassql,bfs,2. Retrieve Value,125.868
stu20,student,birdstrikes,dziban,dfs,1. Find Extremum,169.197
stu25,student,movies,compassql,bfs,2. Retrieve Value,156.638
stu36,student,movies,dziban,dfs,2. Retrieve Value,212.66
stu33,student,birdstrikes,compassql,bfs,1. Find Extremum,343.252
stu12,student,birdstrikes,dziban,dfs,4. Exploration,1291.678
stu38,student,movies,compassql,dfs,3. Prediction,1061.322
stu16,student,birdstrikes,compassql,dfs,4. Exploration,962.746
pro8,professional,movies,compassql,dfs,4. Exploration,630.24
stu26,student,movies,compassql,bfs,1. Find Extremum,223.658
stu23,student,birdstrikes,dziban,dfs,2. Retrieve Value,317.898
pro11,professional,birdstrikes,compassql,dfs,2. Retrieve Value,170.561
stu15,student,movies,dziban,bfs,3. Prediction,754.89
pro16,professional,birdstrikes,compassql,bfs,4. Exploration,622.002
stu21,student,movies,compassql,bfs,4. Exploration,762.361
pro17,professional,movies,compassql,bfs,4. Exploration,985.296
stu35,student,birdstrikes,dziban,bfs,3. Prediction,780.384
pro19,professional,birdstrikes,compassql,dfs,1. Find Extremum,176.562
pro22,professional,movies,dziban,bfs,2. Retrieve Value,308.046
stu10,student,movies,compassql,dfs,1. Find Extremum,774.624
pro14,professional,birdstrikes,dziban,dfs,3. Prediction,476.703
