participant_id,participant_group,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
stu38,student,movies,compassql,dfs,4. Exploration,1,1,1,0,1,1
stu19,student,birdstrikes,dziban,bfs,3. Prediction,1,2,1,1,2,1
pro21,professional,movies,dziban,bfs,1. Find Extremum,1,2,-1,1,-1,0
stu31,student,movies,dziban,bfs,2. Retrieve Value,1,1,-1,0,-1,-1
stu27,student,birdstrikes,dziban,dfs,2. Retrieve Value,1,1,1,2,1,1
stu24,student,movies,compassql,bfs,1. Find Extremum,0,2,2,1,2,1
stu6,student,movies,compassql,dfs,4. Exploration,0,1,1,0,0,0
stu7,student,movies,dziban,bfs,4. Exploration,1,1,1,1,1,1
stu32,student,birdstrikes,compassql,bfs,4. Exploration,1,1,0,1,0,1
pro6,professional,birdstrikes,dziban,bfs,1. Find Extremum,2,2,2,2,2,1
stu32,student,birdstrikes,compassql,bfs,3. Prediction,0,0,0,1,0,0
stu6,student,movies,compassql,dfs,3. Prediction,0,0,1,1,1,1
stu7,student,movies,dziban,bfs,3. Prediction,1,1,1,1,1,1
stu38,student,movies,compassql,dfs,3. Prediction,0,0,0,-1,0,0
stu26,student,movies,compassql,bfs,4. Exploration,1,-1,-1,0,0,0
pro9,professional,movies,compassql,dfs,1. Find Extremum,0,2,1,0,2,1
stu35,student,birdstrikes,dziban,bfs,1. Find Extremum,1,1,0,0,1,0
stu34,student,birdstrikes,compassql,dfs,1. Find Extremum,1,2,-1,-2,-1,-1
stu19,student,birdstrikes,dziban,bfs,4. Exploration,2,2,1,0,0,1
stu2,student,birdstrikes,compassql,bfs,2. Retrieve Value,1,2,0,0,-1,1
stu10,student,movies,compassql,dfs,3. Prediction,1,1,1,1,1,0
pro24,professional,movies,dziban,dfs,3. Prediction,1,1,1,0,1,1
stu28,student,birdstrikes,dziban,bfs,4. Exploration,1,2,1,1,2,1
pro20,professional,movies,dziban,bfs,3. Prediction,-1,-1,-1,-2,-2,-2
