"participant_id","dataset","oracle","search","task","completion_time","condition","task_type",".row","exp(.value)",".lower",".upper",".width",".point",".interval"
47,"movies","dziban","bfs","4. Exploration",164.61,"dziban_bfs","Focused",162,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
47,"movies","dziban","bfs","4. Exploration",287.882,"dziban_bfs","Focused",161,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
47,"movies","dziban","bfs","4. Exploration",473.256,"dziban_bfs","Open-Ended",163,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
47,"movies","dziban","bfs","4. Exploration",802.248,"dziban_bfs","Open-Ended",164,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
48,"birdstrikes","compassql","bfs","4. Exploration",156.766,"compassql_bfs","Focused",165,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
48,"birdstrikes","compassql","bfs","4. Exploration",213.068,"compassql_bfs","Focused",166,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
48,"birdstrikes","compassql","bfs","4. Exploration",560.507,"compassql_bfs","Open-Ended",168,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
48,"birdstrikes","compassql","bfs","4. Exploration",614.957,"compassql_bfs","Open-Ended",167,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
49,"birdstrikes","compassql","bfs","4. Exploration",193.396,"compassql_bfs","Focused",170,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
49,"birdstrikes","compassql","bfs","4. Exploration",289.783,"compassql_bfs","Open-Ended",171,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
49,"birdstrikes","compassql","bfs","4. Exploration",343.252,"compassql_bfs","Focused",169,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
49,"birdstrikes","compassql","bfs","4. Exploration",617.956,"compassql_bfs","Open-Ended",172,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
50,"birdstrikes","compassql","dfs","4. Exploration",172.199,"compassql_dfs","Focused",178,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
50,"birdstrikes","compassql","dfs","4. Exploration",523.348,"compassql_dfs","Open-Ended",180,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
50,"birdstrikes","compassql","dfs","4. Exploration",732.418,"compassql_dfs","Open-Ended",179,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
50,"birdstrikes","compassql","dfs","4. Exploration",733.951,"compassql_dfs","Focused",177,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
51,"movies","dziban","dfs","4. Exploration",146.532,"dziban_dfs","Focused",181,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
51,"movies","dziban","dfs","4. Exploration",170.892,"dziban_dfs","Focused",182,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
